Service Date,Report Time,Service Week,Proterra Bus Low Charge,Total Proterra Buses,Low Charge Buses %
2023-07-28,AM Service Delivery (7 AM-9 AM),Friday,8.0,15,0.5333333333333333
2023-07-28,AM Service Delivery (7 AM-9 AM),Friday,8.0,15,0.5333333333333333
2023-07-28,AM Service Delivery (7 AM-9 AM),Friday,8.0,15,0.5333333333333333
2023-07-28,AM Service Delivery (7 AM-9 AM),Friday,8.0,15,0.5333333333333333
2023-07-28,AM Service Delivery (7 AM-9 AM),Friday,8.0,15,0.5333333333333333
2023-07-28,AM Service Delivery (7 AM-9 AM),Friday,8.0,15,0.5333333333333333
2023-07-28,Night Service Delivery (9 PM onwards),Friday,4.0,15,0.26666666666666666
2023-07-28,Night Service Delivery (9 PM onwards),Friday,4.0,15,0.26666666666666666
2023-07-28,Night Service Delivery (9 PM onwards),Friday,4.0,15,0.26666666666666666
2023-07-28,Night Service Delivery (9 PM onwards),Friday,4.0,15,0.26666666666666666
2023-07-28,Night Service Delivery (9 PM onwards),Friday,4.0,15,0.26666666666666666
2023-07-28,Night Service Delivery (9 PM onwards),Friday,4.0,15,0.26666666666666666
2023-07-28,PM Service Delivery (3 PM-5 PM),Friday,5.0,15,0.3333333333333333
2023-07-28,PM Service Delivery (3 PM-5 PM),Friday,5.0,15,0.3333333333333333
2023-07-28,PM Service Delivery (3 PM-5 PM),Friday,5.0,15,0.3333333333333333
2023-07-28,PM Service Delivery (3 PM-5 PM),Friday,5.0,15,0.3333333333333333
2023-07-28,PM Service Delivery (3 PM-5 PM),Friday,5.0,15,0.3333333333333333
2023-07-28,PM Service Delivery (3 PM-5 PM),Friday,5.0,15,0.3333333333333333
2023-07-28,Pull-out AM (6 AM-7 AM),Friday,4.0,15,0.26666666666666666
2023-07-28,Pull-out AM (6 AM-7 AM),Friday,4.0,15,0.26666666666666666
2023-07-28,Pull-out AM (6 AM-7 AM),Friday,4.0,15,0.26666666666666666
2023-07-28,Pull-out AM (6 AM-7 AM),Friday,4.0,15,0.26666666666666666
2023-07-28,Pull-out AM (6 AM-7 AM),Friday,4.0,15,0.26666666666666666
2023-07-28,Pull-out AM (6 AM-7 AM),Friday,4.0,15,0.26666666666666666
2023-07-29,AM Service Delivery (7 AM-9 AM),Saturday,2.0,15,0.13333333333333333
2023-07-29,AM Service Delivery (7 AM-9 AM),Saturday,2.0,15,0.13333333333333333
2023-07-29,AM Service Delivery (7 AM-9 AM),Saturday,2.0,15,0.13333333333333333
2023-07-29,AM Service Delivery (7 AM-9 AM),Saturday,2.0,15,0.13333333333333333
2023-07-29,AM Service Delivery (7 AM-9 AM),Saturday,2.0,15,0.13333333333333333
2023-07-29,AM Service Delivery (7 AM-9 AM),Saturday,2.0,15,0.13333333333333333
2023-07-29,Night Service Delivery (9 PM onwards),Saturday,0.0,15,0.0
2023-07-29,Night Service Delivery (9 PM onwards),Saturday,0.0,15,0.0
2023-07-29,Night Service Delivery (9 PM onwards),Saturday,0.0,15,0.0
2023-07-29,Night Service Delivery (9 PM onwards),Saturday,0.0,15,0.0
2023-07-29,Night Service Delivery (9 PM onwards),Saturday,0.0,15,0.0
2023-07-29,Night Service Delivery (9 PM onwards),Saturday,0.0,15,0.0
2023-07-29,PM Service Delivery (3 PM-5 PM),Saturday,4.0,15,0.26666666666666666
2023-07-29,PM Service Delivery (3 PM-5 PM),Saturday,4.0,15,0.26666666666666666
2023-07-29,PM Service Delivery (3 PM-5 PM),Saturday,4.0,15,0.26666666666666666
2023-07-29,PM Service Delivery (3 PM-5 PM),Saturday,4.0,15,0.26666666666666666
2023-07-29,PM Service Delivery (3 PM-5 PM),Saturday,4.0,15,0.26666666666666666
2023-07-29,PM Service Delivery (3 PM-5 PM),Saturday,4.0,15,0.26666666666666666
2023-07-29,Pull-out AM (6 AM-7 AM),Saturday,8.0,15,0.5333333333333333
2023-07-29,Pull-out AM (6 AM-7 AM),Saturday,8.0,15,0.5333333333333333
2023-07-29,Pull-out AM (6 AM-7 AM),Saturday,8.0,15,0.5333333333333333
2023-07-29,Pull-out AM (6 AM-7 AM),Saturday,8.0,15,0.5333333333333333
2023-07-29,Pull-out AM (6 AM-7 AM),Saturday,8.0,15,0.5333333333333333
2023-07-29,Pull-out AM (6 AM-7 AM),Saturday,8.0,15,0.5333333333333333
2023-07-30,AM Service Delivery (7 AM-9 AM),Sunday,0.0,15,0.0
2023-07-30,AM Service Delivery (7 AM-9 AM),Sunday,0.0,15,0.0
2023-07-30,AM Service Delivery (7 AM-9 AM),Sunday,0.0,15,0.0
2023-07-30,AM Service Delivery (7 AM-9 AM),Sunday,0.0,15,0.0
2023-07-30,AM Service Delivery (7 AM-9 AM),Sunday,0.0,15,0.0
2023-07-30,AM Service Delivery (7 AM-9 AM),Sunday,0.0,15,0.0
2023-07-30,Night Service Delivery (9 PM onwards),Sunday,0.0,15,0.0
2023-07-30,Night Service Delivery (9 PM onwards),Sunday,0.0,15,0.0
2023-07-30,Night Service Delivery (9 PM onwards),Sunday,0.0,15,0.0
2023-07-30,Night Service Delivery (9 PM onwards),Sunday,0.0,15,0.0
2023-07-30,Night Service Delivery (9 PM onwards),Sunday,0.0,15,0.0
2023-07-30,Night Service Delivery (9 PM onwards),Sunday,0.0,15,0.0
2023-07-30,PM Service Delivery (3 PM-5 PM),Sunday,0.0,15,0.0
2023-07-30,PM Service Delivery (3 PM-5 PM),Sunday,0.0,15,0.0
2023-07-30,PM Service Delivery (3 PM-5 PM),Sunday,0.0,15,0.0
2023-07-30,PM Service Delivery (3 PM-5 PM),Sunday,0.0,15,0.0
2023-07-30,PM Service Delivery (3 PM-5 PM),Sunday,0.0,15,0.0
2023-07-30,PM Service Delivery (3 PM-5 PM),Sunday,0.0,15,0.0
2023-07-30,Pull-out AM (6 AM-7 AM),Sunday,3.0,15,0.2
2023-07-30,Pull-out AM (6 AM-7 AM),Sunday,3.0,15,0.2
2023-07-30,Pull-out AM (6 AM-7 AM),Sunday,3.0,15,0.2
2023-07-30,Pull-out AM (6 AM-7 AM),Sunday,3.0,15,0.2
2023-07-30,Pull-out AM (6 AM-7 AM),Sunday,3.0,15,0.2
2023-07-30,Pull-out AM (6 AM-7 AM),Sunday,3.0,15,0.2
2023-07-31,AM Service Delivery (7 AM-9 AM),Monday-Thursday,3.0,15,0.2
2023-07-31,AM Service Delivery (7 AM-9 AM),Monday-Thursday,3.0,15,0.2
2023-07-31,AM Service Delivery (7 AM-9 AM),Monday-Thursday,3.0,15,0.2
2023-07-31,AM Service Delivery (7 AM-9 AM),Monday-Thursday,3.0,15,0.2
2023-07-31,AM Service Delivery (7 AM-9 AM),Monday-Thursday,3.0,15,0.2
2023-07-31,AM Service Delivery (7 AM-9 AM),Monday-Thursday,3.0,15,0.2
2023-07-31,Night Service Delivery (9 PM onwards),Monday-Thursday,3.0,15,0.2
2023-07-31,Night Service Delivery (9 PM onwards),Monday-Thursday,3.0,15,0.2
2023-07-31,Night Service Delivery (9 PM onwards),Monday-Thursday,3.0,15,0.2
2023-07-31,Night Service Delivery (9 PM onwards),Monday-Thursday,3.0,15,0.2
2023-07-31,Night Service Delivery (9 PM onwards),Monday-Thursday,3.0,15,0.2
2023-07-31,Night Service Delivery (9 PM onwards),Monday-Thursday,3.0,15,0.2
2023-07-31,PM Service Delivery (3 PM-5 PM),Monday-Thursday,3.0,15,0.2
2023-07-31,PM Service Delivery (3 PM-5 PM),Monday-Thursday,3.0,15,0.2
2023-07-31,PM Service Delivery (3 PM-5 PM),Monday-Thursday,3.0,15,0.2
2023-07-31,PM Service Delivery (3 PM-5 PM),Monday-Thursday,3.0,15,0.2
2023-07-31,PM Service Delivery (3 PM-5 PM),Monday-Thursday,3.0,15,0.2
2023-07-31,PM Service Delivery (3 PM-5 PM),Monday-Thursday,3.0,15,0.2
2023-07-31,Pull-out AM (6 AM-7 AM),Monday-Thursday,5.0,15,0.3333333333333333
2023-07-31,Pull-out AM (6 AM-7 AM),Monday-Thursday,5.0,15,0.3333333333333333
2023-07-31,Pull-out AM (6 AM-7 AM),Monday-Thursday,5.0,15,0.3333333333333333
2023-07-31,Pull-out AM (6 AM-7 AM),Monday-Thursday,5.0,15,0.3333333333333333
2023-07-31,Pull-out AM (6 AM-7 AM),Monday-Thursday,5.0,15,0.3333333333333333
2023-07-31,Pull-out AM (6 AM-7 AM),Monday-Thursday,5.0,15,0.3333333333333333
2023-08-01,AM Service Delivery (7 AM-9 AM),Monday-Thursday,0.0,15,0.0
2023-08-01,AM Service Delivery (7 AM-9 AM),Monday-Thursday,0.0,15,0.0
2023-08-01,AM Service Delivery (7 AM-9 AM),Monday-Thursday,0.0,15,0.0
2023-08-01,AM Service Delivery (7 AM-9 AM),Monday-Thursday,0.0,15,0.0
2023-08-01,AM Service Delivery (7 AM-9 AM),Monday-Thursday,0.0,15,0.0
2023-08-01,AM Service Delivery (7 AM-9 AM),Monday-Thursday,0.0,15,0.0
2023-08-01,Night Service Delivery (9 PM onwards),Monday-Thursday,2.0,15,0.13333333333333333
2023-08-01,Night Service Delivery (9 PM onwards),Monday-Thursday,2.0,15,0.13333333333333333
2023-08-01,Night Service Delivery (9 PM onwards),Monday-Thursday,2.0,15,0.13333333333333333
2023-08-01,Night Service Delivery (9 PM onwards),Monday-Thursday,2.0,15,0.13333333333333333
2023-08-01,Night Service Delivery (9 PM onwards),Monday-Thursday,2.0,15,0.13333333333333333
2023-08-01,Night Service Delivery (9 PM onwards),Monday-Thursday,2.0,15,0.13333333333333333
2023-08-01,PM Service Delivery (3 PM-5 PM),Monday-Thursday,1.0,15,0.06666666666666667
2023-08-01,PM Service Delivery (3 PM-5 PM),Monday-Thursday,1.0,15,0.06666666666666667
2023-08-01,PM Service Delivery (3 PM-5 PM),Monday-Thursday,1.0,15,0.06666666666666667
2023-08-01,PM Service Delivery (3 PM-5 PM),Monday-Thursday,1.0,15,0.06666666666666667
2023-08-01,PM Service Delivery (3 PM-5 PM),Monday-Thursday,1.0,15,0.06666666666666667
2023-08-01,PM Service Delivery (3 PM-5 PM),Monday-Thursday,1.0,15,0.06666666666666667
2023-08-01,Pull-out AM (6 AM-7 AM),Monday-Thursday,3.0,15,0.2
2023-08-01,Pull-out AM (6 AM-7 AM),Monday-Thursday,3.0,15,0.2
2023-08-01,Pull-out AM (6 AM-7 AM),Monday-Thursday,3.0,15,0.2
2023-08-01,Pull-out AM (6 AM-7 AM),Monday-Thursday,3.0,15,0.2
2023-08-01,Pull-out AM (6 AM-7 AM),Monday-Thursday,3.0,15,0.2
2023-08-01,Pull-out AM (6 AM-7 AM),Monday-Thursday,3.0,15,0.2
2023-08-02,AM Service Delivery (7 AM-9 AM),Monday-Thursday,1.0,15,0.06666666666666667
2023-08-02,AM Service Delivery (7 AM-9 AM),Monday-Thursday,1.0,15,0.06666666666666667
2023-08-02,AM Service Delivery (7 AM-9 AM),Monday-Thursday,1.0,15,0.06666666666666667
2023-08-02,AM Service Delivery (7 AM-9 AM),Monday-Thursday,1.0,15,0.06666666666666667
2023-08-02,AM Service Delivery (7 AM-9 AM),Monday-Thursday,1.0,15,0.06666666666666667
2023-08-02,AM Service Delivery (7 AM-9 AM),Monday-Thursday,1.0,15,0.06666666666666667
2023-08-02,Night Service Delivery (9 PM onwards),Monday-Thursday,5.0,15,0.3333333333333333
2023-08-02,Night Service Delivery (9 PM onwards),Monday-Thursday,5.0,15,0.3333333333333333
2023-08-02,Night Service Delivery (9 PM onwards),Monday-Thursday,5.0,15,0.3333333333333333
2023-08-02,Night Service Delivery (9 PM onwards),Monday-Thursday,5.0,15,0.3333333333333333
2023-08-02,Night Service Delivery (9 PM onwards),Monday-Thursday,5.0,15,0.3333333333333333
2023-08-02,Night Service Delivery (9 PM onwards),Monday-Thursday,5.0,15,0.3333333333333333
2023-08-02,PM Service Delivery (3 PM-5 PM),Monday-Thursday,0.0,15,0.0
2023-08-02,PM Service Delivery (3 PM-5 PM),Monday-Thursday,0.0,15,0.0
2023-08-02,PM Service Delivery (3 PM-5 PM),Monday-Thursday,0.0,15,0.0
2023-08-02,PM Service Delivery (3 PM-5 PM),Monday-Thursday,0.0,15,0.0
2023-08-02,PM Service Delivery (3 PM-5 PM),Monday-Thursday,0.0,15,0.0
2023-08-02,PM Service Delivery (3 PM-5 PM),Monday-Thursday,0.0,15,0.0
2023-08-02,Pull-out AM (6 AM-7 AM),Monday-Thursday,8.0,15,0.5333333333333333
2023-08-02,Pull-out AM (6 AM-7 AM),Monday-Thursday,8.0,15,0.5333333333333333
2023-08-02,Pull-out AM (6 AM-7 AM),Monday-Thursday,8.0,15,0.5333333333333333
2023-08-02,Pull-out AM (6 AM-7 AM),Monday-Thursday,8.0,15,0.5333333333333333
2023-08-02,Pull-out AM (6 AM-7 AM),Monday-Thursday,8.0,15,0.5333333333333333
2023-08-02,Pull-out AM (6 AM-7 AM),Monday-Thursday,8.0,15,0.5333333333333333
2023-08-03,AM Service Delivery (7 AM-9 AM),Monday-Thursday,5.0,15,0.3333333333333333
2023-08-03,AM Service Delivery (7 AM-9 AM),Monday-Thursday,5.0,15,0.3333333333333333
2023-08-03,AM Service Delivery (7 AM-9 AM),Monday-Thursday,5.0,15,0.3333333333333333
2023-08-03,AM Service Delivery (7 AM-9 AM),Monday-Thursday,5.0,15,0.3333333333333333
2023-08-03,AM Service Delivery (7 AM-9 AM),Monday-Thursday,5.0,15,0.3333333333333333
2023-08-03,AM Service Delivery (7 AM-9 AM),Monday-Thursday,5.0,15,0.3333333333333333
2023-08-03,Night Service Delivery (9 PM onwards),Monday-Thursday,1.0,15,0.06666666666666667
2023-08-03,Night Service Delivery (9 PM onwards),Monday-Thursday,1.0,15,0.06666666666666667
2023-08-03,Night Service Delivery (9 PM onwards),Monday-Thursday,1.0,15,0.06666666666666667
2023-08-03,Night Service Delivery (9 PM onwards),Monday-Thursday,1.0,15,0.06666666666666667
2023-08-03,Night Service Delivery (9 PM onwards),Monday-Thursday,1.0,15,0.06666666666666667
2023-08-03,Night Service Delivery (9 PM onwards),Monday-Thursday,1.0,15,0.06666666666666667
2023-08-03,PM Service Delivery (3 PM-5 PM),Monday-Thursday,5.0,15,0.3333333333333333
2023-08-03,PM Service Delivery (3 PM-5 PM),Monday-Thursday,5.0,15,0.3333333333333333
2023-08-03,PM Service Delivery (3 PM-5 PM),Monday-Thursday,5.0,15,0.3333333333333333
2023-08-03,PM Service Delivery (3 PM-5 PM),Monday-Thursday,5.0,15,0.3333333333333333
2023-08-03,PM Service Delivery (3 PM-5 PM),Monday-Thursday,5.0,15,0.3333333333333333
2023-08-03,PM Service Delivery (3 PM-5 PM),Monday-Thursday,5.0,15,0.3333333333333333
2023-08-03,Pull-out AM (6 AM-7 AM),Monday-Thursday,10.0,15,0.6666666666666666
2023-08-03,Pull-out AM (6 AM-7 AM),Monday-Thursday,10.0,15,0.6666666666666666
2023-08-03,Pull-out AM (6 AM-7 AM),Monday-Thursday,10.0,15,0.6666666666666666
2023-08-03,Pull-out AM (6 AM-7 AM),Monday-Thursday,10.0,15,0.6666666666666666
2023-08-03,Pull-out AM (6 AM-7 AM),Monday-Thursday,10.0,15,0.6666666666666666
2023-08-03,Pull-out AM (6 AM-7 AM),Monday-Thursday,10.0,15,0.6666666666666666
2023-08-07,PM Service Delivery (3 PM-5 PM),Monday-Thursday,0.0,15,0.0
2023-08-07,PM Service Delivery (3 PM-5 PM),Monday-Thursday,0.0,15,0.0
2023-08-07,PM Service Delivery (3 PM-5 PM),Monday-Thursday,0.0,15,0.0
2023-08-07,PM Service Delivery (3 PM-5 PM),Monday-Thursday,0.0,15,0.0
2023-08-07,PM Service Delivery (3 PM-5 PM),Monday-Thursday,0.0,15,0.0
2023-08-07,PM Service Delivery (3 PM-5 PM),Monday-Thursday,0.0,15,0.0
2023-08-07,Pull-out AM (6 AM-7 AM),Monday-Thursday,5.0,15,0.3333333333333333
2023-08-07,Pull-out AM (6 AM-7 AM),Monday-Thursday,5.0,15,0.3333333333333333
2023-08-07,Pull-out AM (6 AM-7 AM),Monday-Thursday,5.0,15,0.3333333333333333
2023-08-07,Pull-out AM (6 AM-7 AM),Monday-Thursday,5.0,15,0.3333333333333333
2023-08-07,Pull-out AM (6 AM-7 AM),Monday-Thursday,5.0,15,0.3333333333333333
2023-08-07,Pull-out AM (6 AM-7 AM),Monday-Thursday,5.0,15,0.3333333333333333
2023-08-08,Night Service Delivery (9 PM onwards),Monday-Thursday,2.0,15,0.13333333333333333
2023-08-08,Night Service Delivery (9 PM onwards),Monday-Thursday,2.0,15,0.13333333333333333
2023-08-08,Night Service Delivery (9 PM onwards),Monday-Thursday,2.0,15,0.13333333333333333
2023-08-08,Night Service Delivery (9 PM onwards),Monday-Thursday,2.0,15,0.13333333333333333
2023-08-08,Night Service Delivery (9 PM onwards),Monday-Thursday,2.0,15,0.13333333333333333
2023-08-08,Night Service Delivery (9 PM onwards),Monday-Thursday,2.0,15,0.13333333333333333
2023-08-08,Pull-out AM (6 AM-7 AM),Monday-Thursday,0.0,15,0.0
2023-08-08,Pull-out AM (6 AM-7 AM),Monday-Thursday,0.0,15,0.0
2023-08-08,Pull-out AM (6 AM-7 AM),Monday-Thursday,0.0,15,0.0
2023-08-08,Pull-out AM (6 AM-7 AM),Monday-Thursday,0.0,15,0.0
2023-08-08,Pull-out AM (6 AM-7 AM),Monday-Thursday,0.0,15,0.0
2023-08-08,Pull-out AM (6 AM-7 AM),Monday-Thursday,0.0,15,0.0
2023-08-09,AM Service Delivery (7 AM-9 AM),Monday-Thursday,3.0,15,0.2
2023-08-09,AM Service Delivery (7 AM-9 AM),Monday-Thursday,3.0,15,0.2
2023-08-09,AM Service Delivery (7 AM-9 AM),Monday-Thursday,3.0,15,0.2
2023-08-09,AM Service Delivery (7 AM-9 AM),Monday-Thursday,3.0,15,0.2
2023-08-09,AM Service Delivery (7 AM-9 AM),Monday-Thursday,3.0,15,0.2
2023-08-09,AM Service Delivery (7 AM-9 AM),Monday-Thursday,3.0,15,0.2
2023-08-09,Night Service Delivery (9 PM onwards),Monday-Thursday,0.0,15,0.0
2023-08-09,Night Service Delivery (9 PM onwards),Monday-Thursday,0.0,15,0.0
2023-08-09,Night Service Delivery (9 PM onwards),Monday-Thursday,0.0,15,0.0
2023-08-09,Night Service Delivery (9 PM onwards),Monday-Thursday,0.0,15,0.0
2023-08-09,Night Service Delivery (9 PM onwards),Monday-Thursday,0.0,15,0.0
2023-08-09,Night Service Delivery (9 PM onwards),Monday-Thursday,0.0,15,0.0
2023-08-09,PM Service Delivery (3 PM-5 PM),Monday-Thursday,0.0,15,0.0
2023-08-09,PM Service Delivery (3 PM-5 PM),Monday-Thursday,0.0,15,0.0
2023-08-09,PM Service Delivery (3 PM-5 PM),Monday-Thursday,0.0,15,0.0
2023-08-09,PM Service Delivery (3 PM-5 PM),Monday-Thursday,0.0,15,0.0
2023-08-09,PM Service Delivery (3 PM-5 PM),Monday-Thursday,0.0,15,0.0
2023-08-09,PM Service Delivery (3 PM-5 PM),Monday-Thursday,0.0,15,0.0
2023-08-09,Pull-out AM (6 AM-7 AM),Monday-Thursday,2.0,15,0.13333333333333333
2023-08-09,Pull-out AM (6 AM-7 AM),Monday-Thursday,2.0,15,0.13333333333333333
2023-08-09,Pull-out AM (6 AM-7 AM),Monday-Thursday,2.0,15,0.13333333333333333
2023-08-09,Pull-out AM (6 AM-7 AM),Monday-Thursday,2.0,15,0.13333333333333333
2023-08-09,Pull-out AM (6 AM-7 AM),Monday-Thursday,2.0,15,0.13333333333333333
2023-08-09,Pull-out AM (6 AM-7 AM),Monday-Thursday,2.0,15,0.13333333333333333
2023-08-10,AM Service Delivery (7 AM-9 AM),Monday-Thursday,4.0,15,0.26666666666666666
2023-08-10,AM Service Delivery (7 AM-9 AM),Monday-Thursday,4.0,15,0.26666666666666666
2023-08-10,AM Service Delivery (7 AM-9 AM),Monday-Thursday,4.0,15,0.26666666666666666
2023-08-10,AM Service Delivery (7 AM-9 AM),Monday-Thursday,4.0,15,0.26666666666666666
2023-08-10,AM Service Delivery (7 AM-9 AM),Monday-Thursday,4.0,15,0.26666666666666666
2023-08-10,AM Service Delivery (7 AM-9 AM),Monday-Thursday,4.0,15,0.26666666666666666
