Service Date,Report Time,Service Week,Route,Available Vehicles,Peak Number of Vehicles,Buses Required,Detour,Detour Details,Total Available Vehicles,Total Required Vehicles,Bus Fleet Compliance Rate
2023-07-28,AM Service Delivery (7 AM-9 AM),Friday,CH-US,10.0,,10.0,No,,46.0,47.0,0.9787234042553191
2023-07-28,AM Service Delivery (7 AM-9 AM),Friday,EM-LP,5.0,,6.0,No,,46.0,47.0,0.9787234042553191
2023-07-28,AM Service Delivery (7 AM-9 AM),Friday,GT-US,11.0,,11.0,No,,46.0,47.0,0.9787234042553191
2023-07-28,AM Service Delivery (7 AM-9 AM),Friday,NMS,7.0,,7.0,No,,46.0,47.0,0.9787234042553191
2023-07-28,AM Service Delivery (7 AM-9 AM),Friday,RS-DP,6.0,,6.0,Yes,"WESTBOUND:

Continue straight to Fort Myer Drive. 
Left on 19th N. Street
Right on N. Monroe Street to Bus bay B. Continue regular route no Layover.
EASTBOUND:

Normal route to Dupont.",46.0,47.0,0.9787234042553191
2023-07-28,AM Service Delivery (7 AM-9 AM),Friday,WP-AM,7.0,,7.0,No,,46.0,47.0,0.9787234042553191
2023-07-28,Night Service Delivery (9 PM onwards),Friday,CH-US,9.0,,9.0,No,,45.0,49.0,0.9183673469387755
2023-07-28,Night Service Delivery (9 PM onwards),Friday,EM-LP,4.0,,6.0,No,,45.0,49.0,0.9183673469387755
2023-07-28,Night Service Delivery (9 PM onwards),Friday,GT-US,12.0,,13.0,No,,45.0,49.0,0.9183673469387755
2023-07-28,Night Service Delivery (9 PM onwards),Friday,NMS,6.0,,7.0,No,,45.0,49.0,0.9183673469387755
2023-07-28,Night Service Delivery (9 PM onwards),Friday,RS-DP,6.0,,6.0,Yes,"WESTBOUND:

Continue straight to Fort Myer Drive. 
Left on 19th N. Street
Right on N. Monroe Street to Bus bay B. Continue regular route no Layover.
EASTBOUND:

Normal route to Dupont.",45.0,49.0,0.9183673469387755
2023-07-28,Night Service Delivery (9 PM onwards),Friday,WP-AM,8.0,,8.0,No,,45.0,49.0,0.9183673469387755
2023-07-28,PM Service Delivery (3 PM-5 PM),Friday,CH-US,8.0,,12.0,No,,42.0,53.0,0.7924528301886793
2023-07-28,PM Service Delivery (3 PM-5 PM),Friday,EM-LP,5.0,,7.0,No,,42.0,53.0,0.7924528301886793
2023-07-28,PM Service Delivery (3 PM-5 PM),Friday,GT-US,10.0,,13.0,No,,42.0,53.0,0.7924528301886793
2023-07-28,PM Service Delivery (3 PM-5 PM),Friday,NMS,7.0,,8.0,No,,42.0,53.0,0.7924528301886793
2023-07-28,PM Service Delivery (3 PM-5 PM),Friday,RS-DP,5.0,,6.0,Yes,"WESTBOUND:

Continue straight to Fort Myer Drive. 
Left on 19th N. Street
Right on N. Monroe Street to Bus bay B. Continue regular route no Layover.
EASTBOUND:

Normal route to Dupont.",42.0,53.0,0.7924528301886793
2023-07-28,PM Service Delivery (3 PM-5 PM),Friday,WP-AM,7.0,,7.0,No,,42.0,53.0,0.7924528301886793
2023-07-28,Pull-out AM (6 AM-7 AM),Friday,CH-US,9.0,,10.0,No,,42.0,44.0,0.9545454545454546
2023-07-28,Pull-out AM (6 AM-7 AM),Friday,EM-LP,5.0,,6.0,No,,42.0,44.0,0.9545454545454546
2023-07-28,Pull-out AM (6 AM-7 AM),Friday,GT-US,11.0,,11.0,No,,42.0,44.0,0.9545454545454546
2023-07-28,Pull-out AM (6 AM-7 AM),Friday,NMS,4.0,,4.0,No,,42.0,44.0,0.9545454545454546
2023-07-28,Pull-out AM (6 AM-7 AM),Friday,RS-DP,6.0,,6.0,No,,42.0,44.0,0.9545454545454546
2023-07-28,Pull-out AM (6 AM-7 AM),Friday,WP-AM,7.0,,7.0,No,,42.0,44.0,0.9545454545454546
2023-07-29,AM Service Delivery (7 AM-9 AM),Saturday,CH-US,9.0,,10.0,No,,45.0,45.0,1.0
2023-07-29,AM Service Delivery (7 AM-9 AM),Saturday,EM-LP,6.0,,6.0,No,,45.0,45.0,1.0
2023-07-29,AM Service Delivery (7 AM-9 AM),Saturday,GT-US,11.0,,10.0,No,,45.0,45.0,1.0
2023-07-29,AM Service Delivery (7 AM-9 AM),Saturday,NMS,6.0,,6.0,No,,45.0,45.0,1.0
2023-07-29,AM Service Delivery (7 AM-9 AM),Saturday,RS-DP,6.0,,6.0,Yes,"WESTBOUND:

Continue straight to Fort Myer Drive. 
Left on 19th N. Street
Right on N. Monroe Street to Bus bay B. Continue regular route no Layover.
EASTBOUND:

Normal route to Dupont.",45.0,45.0,1.0
2023-07-29,AM Service Delivery (7 AM-9 AM),Saturday,WP-AM,7.0,,7.0,No,,45.0,45.0,1.0
2023-07-29,Night Service Delivery (9 PM onwards),Saturday,CH-US,8.0,,10.0,No,,34.0,47.0,0.723404255319149
2023-07-29,Night Service Delivery (9 PM onwards),Saturday,EM-LP,6.0,,6.0,No,,34.0,47.0,0.723404255319149
2023-07-29,Night Service Delivery (9 PM onwards),Saturday,GT-US,10.0,,11.0,No,,34.0,47.0,0.723404255319149
2023-07-29,Night Service Delivery (9 PM onwards),Saturday,NMS,0.0,,6.0,No,,34.0,47.0,0.723404255319149
2023-07-29,Night Service Delivery (9 PM onwards),Saturday,RS-DP,5.0,,6.0,Yes,"WESTBOUND:

Continue straight to Fort Myer Drive. 
Left on 19th N. Street
Right on N. Monroe Street to Bus bay B. Continue regular route no Layover.
EASTBOUND:

Normal route to Dupont.",34.0,47.0,0.723404255319149
2023-07-29,Night Service Delivery (9 PM onwards),Saturday,WP-AM,5.0,,8.0,No,,34.0,47.0,0.723404255319149
2023-07-29,PM Service Delivery (3 PM-5 PM),Saturday,CH-US,9.0,,10.0,No,,45.0,47.0,0.9574468085106383
2023-07-29,PM Service Delivery (3 PM-5 PM),Saturday,EM-LP,6.0,,6.0,No,,45.0,47.0,0.9574468085106383
2023-07-29,PM Service Delivery (3 PM-5 PM),Saturday,GT-US,10.0,,12.0,No,,45.0,47.0,0.9574468085106383
2023-07-29,PM Service Delivery (3 PM-5 PM),Saturday,NMS,8.0,,6.0,No,,45.0,47.0,0.9574468085106383
2023-07-29,PM Service Delivery (3 PM-5 PM),Saturday,RS-DP,6.0,,6.0,Yes,"WESTBOUND:

Continue straight to Fort Myer Drive. 
Left on 19th N. Street
Right on N. Monroe Street to Bus bay B. Continue regular route no Layover.
EASTBOUND:

Normal route to Dupont.",45.0,47.0,0.9574468085106383
2023-07-29,PM Service Delivery (3 PM-5 PM),Saturday,WP-AM,6.0,,7.0,No,,45.0,47.0,0.9574468085106383
2023-07-29,Pull-out AM (6 AM-7 AM),Saturday,CH-US,10.0,,10.0,No,,41.0,45.0,0.9111111111111111
2023-07-29,Pull-out AM (6 AM-7 AM),Saturday,EM-LP,6.0,,6.0,No,,41.0,45.0,0.9111111111111111
2023-07-29,Pull-out AM (6 AM-7 AM),Saturday,GT-US,10.0,,10.0,No,,41.0,45.0,0.9111111111111111
2023-07-29,Pull-out AM (6 AM-7 AM),Saturday,NMS,4.0,,6.0,No,,41.0,45.0,0.9111111111111111
2023-07-29,Pull-out AM (6 AM-7 AM),Saturday,RS-DP,5.0,,6.0,No,,41.0,45.0,0.9111111111111111
2023-07-29,Pull-out AM (6 AM-7 AM),Saturday,WP-AM,6.0,,7.0,No,,41.0,45.0,0.9111111111111111
2023-07-30,AM Service Delivery (7 AM-9 AM),Sunday,CH-US,9.0,,11.0,No,,40.0,46.0,0.8695652173913043
2023-07-30,AM Service Delivery (7 AM-9 AM),Sunday,EM-LP,4.0,,6.0,No,,40.0,46.0,0.8695652173913043
2023-07-30,AM Service Delivery (7 AM-9 AM),Sunday,GT-US,10.0,,10.0,No,,40.0,46.0,0.8695652173913043
2023-07-30,AM Service Delivery (7 AM-9 AM),Sunday,NMS,5.0,,6.0,No,,40.0,46.0,0.8695652173913043
2023-07-30,AM Service Delivery (7 AM-9 AM),Sunday,RS-DP,6.0,,6.0,Yes,"WESTBOUND:

Continue straight to Fort Myer Drive. 
Left on 19th N. Street
Right on N. Monroe Street to Bus bay B. Continue regular route no Layover.
EASTBOUND:

Normal route to Dupont.",40.0,46.0,0.8695652173913043
2023-07-30,AM Service Delivery (7 AM-9 AM),Sunday,WP-AM,6.0,,7.0,No,,40.0,46.0,0.8695652173913043
2023-07-30,Night Service Delivery (9 PM onwards),Sunday,CH-US,9.0,,10.0,No,,39.0,49.0,0.7959183673469388
2023-07-30,Night Service Delivery (9 PM onwards),Sunday,EM-LP,6.0,,6.0,No,,39.0,49.0,0.7959183673469388
2023-07-30,Night Service Delivery (9 PM onwards),Sunday,GT-US,11.0,,13.0,No,,39.0,49.0,0.7959183673469388
2023-07-30,Night Service Delivery (9 PM onwards),Sunday,NMS,0.0,,6.0,No,,39.0,49.0,0.7959183673469388
2023-07-30,Night Service Delivery (9 PM onwards),Sunday,RS-DP,5.0,,6.0,Yes,"WESTBOUND:

Continue straight to Fort Myer Drive. 
Left on 19th N. Street
Right on N. Monroe Street to Bus bay B. Continue regular route no Layover.
EASTBOUND:

Normal route to Dupont.",39.0,49.0,0.7959183673469388
2023-07-30,Night Service Delivery (9 PM onwards),Sunday,WP-AM,8.0,,8.0,No,,39.0,49.0,0.7959183673469388
2023-07-30,PM Service Delivery (3 PM-5 PM),Sunday,CH-US,11.0,,11.0,No,,45.0,50.0,0.9
2023-07-30,PM Service Delivery (3 PM-5 PM),Sunday,EM-LP,5.0,,6.0,No,,45.0,50.0,0.9
2023-07-30,PM Service Delivery (3 PM-5 PM),Sunday,GT-US,10.0,,12.0,No,,45.0,50.0,0.9
2023-07-30,PM Service Delivery (3 PM-5 PM),Sunday,NMS,6.0,,6.0,No,,45.0,50.0,0.9
2023-07-30,PM Service Delivery (3 PM-5 PM),Sunday,RS-DP,5.0,,7.0,Yes,"WESTBOUND:

Continue straight to Fort Myer Drive. 
Left on 19th N. Street
Right on N. Monroe Street to Bus bay B. Continue regular route no Layover.
EASTBOUND:

Normal route to Dupont.",45.0,50.0,0.9
2023-07-30,PM Service Delivery (3 PM-5 PM),Sunday,WP-AM,8.0,,8.0,No,,45.0,50.0,0.9
2023-07-30,Pull-out AM (6 AM-7 AM),Sunday,CH-US,9.0,,11.0,No,,37.0,46.0,0.8043478260869565
2023-07-30,Pull-out AM (6 AM-7 AM),Sunday,EM-LP,4.0,,6.0,No,,37.0,46.0,0.8043478260869565
2023-07-30,Pull-out AM (6 AM-7 AM),Sunday,GT-US,10.0,,10.0,No,,37.0,46.0,0.8043478260869565
2023-07-30,Pull-out AM (6 AM-7 AM),Sunday,NMS,2.0,,6.0,No,,37.0,46.0,0.8043478260869565
2023-07-30,Pull-out AM (6 AM-7 AM),Sunday,RS-DP,6.0,,6.0,No,,37.0,46.0,0.8043478260869565
2023-07-30,Pull-out AM (6 AM-7 AM),Sunday,WP-AM,6.0,,7.0,No,,37.0,46.0,0.8043478260869565
2023-07-31,AM Service Delivery (7 AM-9 AM),Monday-Thursday,CH-US,9.0,,10.0,No,,42.0,47.0,0.8936170212765957
2023-07-31,AM Service Delivery (7 AM-9 AM),Monday-Thursday,EM-LP,5.0,,6.0,No,,42.0,47.0,0.8936170212765957
2023-07-31,AM Service Delivery (7 AM-9 AM),Monday-Thursday,GT-US,11.0,,11.0,No,,42.0,47.0,0.8936170212765957
2023-07-31,AM Service Delivery (7 AM-9 AM),Monday-Thursday,NMS,6.0,,7.0,No,,42.0,47.0,0.8936170212765957
2023-07-31,AM Service Delivery (7 AM-9 AM),Monday-Thursday,RS-DP,5.0,,6.0,Yes,"WESTBOUND:

Continue straight to Fort Myer Drive. 
Left on 19th N. Street
Right on N. Monroe Street to Bus bay B. Continue regular route no Layover.
EASTBOUND:

Normal route to Dupont.",42.0,47.0,0.8936170212765957
2023-07-31,AM Service Delivery (7 AM-9 AM),Monday-Thursday,WP-AM,6.0,,7.0,No,,42.0,47.0,0.8936170212765957
2023-07-31,Night Service Delivery (9 PM onwards),Monday-Thursday,CH-US,8.0,,9.0,No,,40.0,50.0,0.8
2023-07-31,Night Service Delivery (9 PM onwards),Monday-Thursday,EM-LP,5.0,,6.0,No,,40.0,50.0,0.8
2023-07-31,Night Service Delivery (9 PM onwards),Monday-Thursday,GT-US,13.0,,14.0,No,,40.0,50.0,0.8
2023-07-31,Night Service Delivery (9 PM onwards),Monday-Thursday,NMS,0.0,,7.0,No,,40.0,50.0,0.8
2023-07-31,Night Service Delivery (9 PM onwards),Monday-Thursday,RS-DP,6.0,,6.0,Yes,"WESTBOUND:

Continue straight to Fort Myer Drive. 
Left on 19th N. Street
Right on N. Monroe Street to Bus bay B. Continue regular route no Layover.
EASTBOUND:

Normal route to Dupont.",40.0,50.0,0.8
2023-07-31,Night Service Delivery (9 PM onwards),Monday-Thursday,WP-AM,8.0,,8.0,No,,40.0,50.0,0.8
2023-07-31,PM Service Delivery (3 PM-5 PM),Monday-Thursday,CH-US,10.0,,11.0,No,,47.0,54.0,0.8703703703703703
2023-07-31,PM Service Delivery (3 PM-5 PM),Monday-Thursday,EM-LP,5.0,,7.0,No,,47.0,54.0,0.8703703703703703
2023-07-31,PM Service Delivery (3 PM-5 PM),Monday-Thursday,GT-US,12.0,,13.0,No,,47.0,54.0,0.8703703703703703
2023-07-31,PM Service Delivery (3 PM-5 PM),Monday-Thursday,NMS,8.0,,8.0,No,,47.0,54.0,0.8703703703703703
2023-07-31,PM Service Delivery (3 PM-5 PM),Monday-Thursday,RS-DP,6.0,,7.0,Yes,"WESTBOUND:

Continue straight to Fort Myer Drive. 
Left on 19th N. Street
Right on N. Monroe Street to Bus bay B. Continue regular route no Layover.
EASTBOUND:

Normal route to Dupont.",47.0,54.0,0.8703703703703703
2023-07-31,PM Service Delivery (3 PM-5 PM),Monday-Thursday,WP-AM,6.0,,8.0,No,,47.0,54.0,0.8703703703703703
2023-07-31,Pull-out AM (6 AM-7 AM),Monday-Thursday,CH-US,9.0,,10.0,No,,38.0,44.0,0.8636363636363636
2023-07-31,Pull-out AM (6 AM-7 AM),Monday-Thursday,EM-LP,5.0,,6.0,No,,38.0,44.0,0.8636363636363636
2023-07-31,Pull-out AM (6 AM-7 AM),Monday-Thursday,GT-US,10.0,,11.0,No,,38.0,44.0,0.8636363636363636
2023-07-31,Pull-out AM (6 AM-7 AM),Monday-Thursday,NMS,3.0,,4.0,No,,38.0,44.0,0.8636363636363636
2023-07-31,Pull-out AM (6 AM-7 AM),Monday-Thursday,RS-DP,5.0,,6.0,No,,38.0,44.0,0.8636363636363636
2023-07-31,Pull-out AM (6 AM-7 AM),Monday-Thursday,WP-AM,6.0,,7.0,No,,38.0,44.0,0.8636363636363636
2023-08-01,AM Service Delivery (7 AM-9 AM),Monday-Thursday,CH-US,9.0,,10.0,No,,44.0,47.0,0.9361702127659575
2023-08-01,AM Service Delivery (7 AM-9 AM),Monday-Thursday,EM-LP,5.0,,6.0,No,,44.0,47.0,0.9361702127659575
2023-08-01,AM Service Delivery (7 AM-9 AM),Monday-Thursday,GT-US,10.0,,11.0,No,,44.0,47.0,0.9361702127659575
2023-08-01,AM Service Delivery (7 AM-9 AM),Monday-Thursday,NMS,7.0,,7.0,No,,44.0,47.0,0.9361702127659575
2023-08-01,AM Service Delivery (7 AM-9 AM),Monday-Thursday,RS-DP,6.0,,6.0,Yes,"WESTBOUND:

Continue straight to Fort Myer Drive. 
Left on 19th N. Street
Right on N. Monroe Street to Bus bay B. Continue regular route no Layover.
EASTBOUND:

Normal route to Dupont.",44.0,47.0,0.9361702127659575
2023-08-01,AM Service Delivery (7 AM-9 AM),Monday-Thursday,WP-AM,7.0,,7.0,No,,44.0,47.0,0.9361702127659575
2023-08-01,Night Service Delivery (9 PM onwards),Monday-Thursday,CH-US,9.0,,9.0,No,,42.0,50.0,0.84
2023-08-01,Night Service Delivery (9 PM onwards),Monday-Thursday,EM-LP,6.0,,6.0,No,,42.0,50.0,0.84
2023-08-01,Night Service Delivery (9 PM onwards),Monday-Thursday,GT-US,13.0,,14.0,No,,42.0,50.0,0.84
2023-08-01,Night Service Delivery (9 PM onwards),Monday-Thursday,NMS,1.0,,7.0,No,,42.0,50.0,0.84
2023-08-01,Night Service Delivery (9 PM onwards),Monday-Thursday,RS-DP,6.0,,6.0,Yes,"WESTBOUND:

Continue straight to Fort Myer Drive. 
Left on 19th N. Street
Right on N. Monroe Street to Bus bay B. Continue regular route no Layover.
EASTBOUND:

Normal route to Dupont.",42.0,50.0,0.84
2023-08-01,Night Service Delivery (9 PM onwards),Monday-Thursday,WP-AM,7.0,,8.0,No,,42.0,50.0,0.84
2023-08-01,PM Service Delivery (3 PM-5 PM),Monday-Thursday,CH-US,10.0,,11.0,No,,48.0,54.0,0.8888888888888888
2023-08-01,PM Service Delivery (3 PM-5 PM),Monday-Thursday,EM-LP,5.0,,7.0,No,,48.0,54.0,0.8888888888888888
2023-08-01,PM Service Delivery (3 PM-5 PM),Monday-Thursday,GT-US,12.0,,13.0,No,,48.0,54.0,0.8888888888888888
2023-08-01,PM Service Delivery (3 PM-5 PM),Monday-Thursday,NMS,7.0,,8.0,No,,48.0,54.0,0.8888888888888888
2023-08-01,PM Service Delivery (3 PM-5 PM),Monday-Thursday,RS-DP,7.0,,7.0,Yes,"WESTBOUND:

Continue straight to Fort Myer Drive. 
Left on 19th N. Street
Right on N. Monroe Street to Bus bay B. Continue regular route no Layover.
EASTBOUND:

Normal route to Dupont.",48.0,54.0,0.8888888888888888
2023-08-01,PM Service Delivery (3 PM-5 PM),Monday-Thursday,WP-AM,7.0,,8.0,No,,48.0,54.0,0.8888888888888888
2023-08-01,Pull-out AM (6 AM-7 AM),Monday-Thursday,CH-US,9.0,,10.0,No,,40.0,44.0,0.9090909090909091
2023-08-01,Pull-out AM (6 AM-7 AM),Monday-Thursday,EM-LP,4.0,,6.0,No,,40.0,44.0,0.9090909090909091
2023-08-01,Pull-out AM (6 AM-7 AM),Monday-Thursday,GT-US,10.0,,11.0,No,,40.0,44.0,0.9090909090909091
2023-08-01,Pull-out AM (6 AM-7 AM),Monday-Thursday,NMS,4.0,,4.0,No,,40.0,44.0,0.9090909090909091
2023-08-01,Pull-out AM (6 AM-7 AM),Monday-Thursday,RS-DP,6.0,,6.0,No,,40.0,44.0,0.9090909090909091
2023-08-01,Pull-out AM (6 AM-7 AM),Monday-Thursday,WP-AM,7.0,,7.0,No,,40.0,44.0,0.9090909090909091
2023-08-02,AM Service Delivery (7 AM-9 AM),Monday-Thursday,CH-US,10.0,,10.0,No,,45.0,47.0,0.9574468085106383
2023-08-02,AM Service Delivery (7 AM-9 AM),Monday-Thursday,EM-LP,6.0,,6.0,No,,45.0,47.0,0.9574468085106383
2023-08-02,AM Service Delivery (7 AM-9 AM),Monday-Thursday,GT-US,9.0,,11.0,No,,45.0,47.0,0.9574468085106383
2023-08-02,AM Service Delivery (7 AM-9 AM),Monday-Thursday,NMS,7.0,,7.0,No,,45.0,47.0,0.9574468085106383
2023-08-02,AM Service Delivery (7 AM-9 AM),Monday-Thursday,RS-DP,6.0,,6.0,Yes,"WESTBOUND:

Continue straight to Fort Myer Drive. 
Left on 19th N. Street
Right on N. Monroe Street to Bus bay B. Continue regular route no Layover.
EASTBOUND:

Normal route to Dupont.",45.0,47.0,0.9574468085106383
2023-08-02,AM Service Delivery (7 AM-9 AM),Monday-Thursday,WP-AM,7.0,,7.0,No,,45.0,47.0,0.9574468085106383
2023-08-02,Night Service Delivery (9 PM onwards),Monday-Thursday,CH-US,9.0,,9.0,No,,49.0,50.0,0.98
2023-08-02,Night Service Delivery (9 PM onwards),Monday-Thursday,EM-LP,5.0,,6.0,No,,49.0,50.0,0.98
2023-08-02,Night Service Delivery (9 PM onwards),Monday-Thursday,GT-US,14.0,,14.0,No,,49.0,50.0,0.98
2023-08-02,Night Service Delivery (9 PM onwards),Monday-Thursday,NMS,7.0,,7.0,No,,49.0,50.0,0.98
2023-08-02,Night Service Delivery (9 PM onwards),Monday-Thursday,RS-DP,6.0,,6.0,Yes,"WESTBOUND:

Continue straight to Fort Myer Drive. 
Left on 19th N. Street
Right on N. Monroe Street to Bus bay B. Continue regular route no Layover.
EASTBOUND:

Normal route to Dupont.",49.0,50.0,0.98
2023-08-02,Night Service Delivery (9 PM onwards),Monday-Thursday,WP-AM,8.0,,8.0,No,,49.0,50.0,0.98
2023-08-02,PM Service Delivery (3 PM-5 PM),Monday-Thursday,CH-US,10.0,,11.0,No,,47.0,54.0,0.8703703703703703
2023-08-02,PM Service Delivery (3 PM-5 PM),Monday-Thursday,EM-LP,7.0,,7.0,No,,47.0,54.0,0.8703703703703703
2023-08-02,PM Service Delivery (3 PM-5 PM),Monday-Thursday,GT-US,13.0,,13.0,No,,47.0,54.0,0.8703703703703703
2023-08-02,PM Service Delivery (3 PM-5 PM),Monday-Thursday,NMS,7.0,,8.0,No,,47.0,54.0,0.8703703703703703
2023-08-02,PM Service Delivery (3 PM-5 PM),Monday-Thursday,RS-DP,5.0,,7.0,Yes,"WESTBOUND:

Continue straight to Fort Myer Drive. 
Left on 19th N. Street
Right on N. Monroe Street to Bus bay B. Continue regular route no Layover.
EASTBOUND:

Normal route to Dupont.",47.0,54.0,0.8703703703703703
2023-08-02,PM Service Delivery (3 PM-5 PM),Monday-Thursday,WP-AM,5.0,,8.0,No,,47.0,54.0,0.8703703703703703
2023-08-02,Pull-out AM (6 AM-7 AM),Monday-Thursday,CH-US,9.0,,10.0,No,,41.0,44.0,0.9318181818181818
2023-08-02,Pull-out AM (6 AM-7 AM),Monday-Thursday,EM-LP,6.0,,6.0,No,,41.0,44.0,0.9318181818181818
2023-08-02,Pull-out AM (6 AM-7 AM),Monday-Thursday,GT-US,9.0,,11.0,No,,41.0,44.0,0.9318181818181818
2023-08-02,Pull-out AM (6 AM-7 AM),Monday-Thursday,NMS,4.0,,4.0,No,,41.0,44.0,0.9318181818181818
2023-08-02,Pull-out AM (6 AM-7 AM),Monday-Thursday,RS-DP,6.0,,6.0,No,,41.0,44.0,0.9318181818181818
2023-08-02,Pull-out AM (6 AM-7 AM),Monday-Thursday,WP-AM,7.0,,7.0,No,,41.0,44.0,0.9318181818181818
2023-08-03,AM Service Delivery (7 AM-9 AM),Monday-Thursday,CH-US,9.0,,10.0,No,,45.0,47.0,0.9574468085106383
2023-08-03,AM Service Delivery (7 AM-9 AM),Monday-Thursday,EM-LP,6.0,,6.0,No,,45.0,47.0,0.9574468085106383
2023-08-03,AM Service Delivery (7 AM-9 AM),Monday-Thursday,GT-US,10.0,,11.0,No,,45.0,47.0,0.9574468085106383
2023-08-03,AM Service Delivery (7 AM-9 AM),Monday-Thursday,NMS,7.0,,7.0,No,,45.0,47.0,0.9574468085106383
2023-08-03,AM Service Delivery (7 AM-9 AM),Monday-Thursday,RS-DP,6.0,,6.0,Yes,"WESTBOUND:

Continue straight to Fort Myer Drive. 
Left on 19th N. Street
Right on N. Monroe Street to Bus bay B. Continue regular route no Layover.
EASTBOUND:

Normal route to Dupont.",45.0,47.0,0.9574468085106383
2023-08-03,AM Service Delivery (7 AM-9 AM),Monday-Thursday,WP-AM,7.0,,7.0,No,,45.0,47.0,0.9574468085106383
2023-08-03,Night Service Delivery (9 PM onwards),Monday-Thursday,CH-US,9.0,,9.0,No,,48.0,50.0,0.96
2023-08-03,Night Service Delivery (9 PM onwards),Monday-Thursday,EM-LP,5.0,,6.0,No,,48.0,50.0,0.96
2023-08-03,Night Service Delivery (9 PM onwards),Monday-Thursday,GT-US,14.0,,14.0,No,,48.0,50.0,0.96
2023-08-03,Night Service Delivery (9 PM onwards),Monday-Thursday,NMS,6.0,,7.0,No,,48.0,50.0,0.96
